,Open,High,Low,Close,Adj Close,Volume,score,body_sentiment,title_sentiment,counts
2021-01-07,18.469999,19.450001,18.02,18.08,18.08,6129300,13.0,0.5929800000000001,-0.0521,5
2021-01-08,18.18,18.299999,17.08,17.690001,17.690001,6464500,3.7857142857142856,0.12167142857142857,0.16375714285714285,14
2021-01-09,18.18,18.299999,17.08,17.690001,17.690001,6464500,2.875,0.33364999999999995,0.10500000000000001,8
2021-01-10,18.18,18.299999,17.08,17.690001,17.690001,6464500,1.0,0.8241333333333333,0.07404444444444443,9
2021-01-11,19.41,20.65,19.01,19.940001,19.940001,14927600,6.7631578947368425,0.42159736842105255,0.10786052631578948,38
2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700,6.166666666666667,0.5800333333333333,0.15025,18
2021-01-13,20.42,38.650002,20.030001,31.4,31.4,144501700,20.235294117647058,0.3575426470588236,0.12453088235294117,68
2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400,10.78688524590164,0.41555491803278694,0.02186393442622952,122
2021-01-15,38.490002,40.75,34.009998,35.5,35.5,46752200,11.694805194805195,0.3968961038961039,0.06688961038961037,154
2021-01-16,38.490002,40.75,34.009998,35.5,35.5,46752200,4.177083333333333,0.5904083333333335,0.10855312499999999,96
2021-01-17,38.490002,40.75,34.009998,35.5,35.5,46752200,1.5368421052631578,0.5235263157894737,0.03407684210526315,95
2021-01-18,38.490002,40.75,34.009998,35.5,35.5,46752200,1.0,0.33360898876404493,0.05867696629213483,178
2021-01-19,41.549999,45.52,36.639999,39.360001,39.360001,74721900,8.287671232876713,0.367762328767123,0.0421595890410959,146
2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800,8.216216216216216,0.32639594594594584,-0.0013391891891891862,148
2021-01-21,39.23,44.75,37.0,43.029999,43.029999,57079800,3.041095890410959,0.3554349315068494,0.020434931506849312,146
2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,196784300,1.053639846743295,0.2036417624521074,0.0354026819923372,783
2021-01-23,42.59,76.760002,42.32,65.010002,65.010002,196784300,1.003717472118959,0.38550408921933094,0.044339033457249086,269
2021-01-24,42.59,76.760002,42.32,65.010002,65.010002,196784300,1.0247524752475248,0.38820693069306944,0.022512871287128713,202
2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000,1.0430283224400871,0.17642489106753834,0.029490250544662283,1836
